clip_filename, GROUNDTRUTH
RDL_20200727_13012408.wav, b
BSM_20170724_13444600.wav, e
CAC_20210718_08544200.wav, e
CAC_20210718_08544300.wav, e
KAM_20200730_13292000.wav, h
BSM_20170724_13410900.wav, e
BSM_20170724_13411000.wav, e 
BSM_20170724_13414000.wav, e 
BSM_20170724_13421400.wav, e 
BSM_20170724_13422300.wav, e 
BSM_20170724_13422400.wav, e 
BSM_20170724_13423500.wav, e
BSM_20170724_13420300.wav, e
BSM_20170724_13425800.wav, e 
BSM_20170724_13431400.wav, e 
BSM_20170724_13443400.wav, e 
BSM_20170724_13444400.wav, e 
BSM_20170724_13444600.wav, e 
KAM_20200730_12253400.wav, e
KAM_20200730_13245100.wav, e
KAM_20200731_14241500.wav, e
KAM_20200729_10223100.wav, e
KAM_20200730_12223200.wav, e
KAM_20200731_14165500.wav, e
